Month,HSD_TMT,MS_TMT,LPG_TMT,ATF_TMT,Total_POL_TMT,IIP_Index,Monsoon_Departure_Pct
2020-04,3252.0,973.0,2113.0,55.0,9373.0,121.6,0.0
2020-05,5494.0,1771.0,2296.0,110.0,15392.0,122.0,0.0
2020-06,6299.0,2282.0,2064.0,222.0,16058.0,122.4,4.0
2020-07,5506.0,2261.0,2258.0,233.0,15586.0,122.8,-8.0
2020-08,4843.0,2382.0,2262.0,256.0,14390.0,123.2,-8.0
2020-09,5487.0,2451.0,2261.0,313.0,15130.0,123.6,4.0
2020-10,7001.0,2655.0,2421.0,360.0,17724.0,124.0,0.0
2020-11,7039.0,2665.0,2352.0,376.0,19342.0,124.4,0.0
2020-12,7192.0,2706.0,2523.0,427.0,18361.0,124.8,0.0
2021-01,6806.0,2611.0,2490.0,441.0,17642.0,125.4,0.0
2021-02,6569.0,2472.0,2262.0,432.0,16671.0,125.8,0.0
2021-03,7225.0,2740.0,2256.0,474.0,18628.0,126.2,0.0
2021-04,6676.0,2386.0,2102.0,412.0,16323.0,126.6,0.0
2021-05,5532.0,1991.0,2156.0,268.0,14579.0,127.0,0.0
2021-06,6195.0,2409.0,2251.0,257.0,15692.0,127.4,4.0
2021-07,6134.0,2630.0,2357.0,315.0,16337.0,127.8,-8.0
2021-08,5603.0,2692.0,2317.0,379.0,15211.0,128.2,-8.0
2021-09,5513.0,2598.0,2356.0,409.0,15600.0,128.6,4.0
2021-10,6616.0,2750.0,2481.0,479.0,17577.0,129.0,0.0
2021-11,6506.0,2645.0,2336.0,504.0,16715.0,129.4,0.0
2021-12,7302.0,2816.0,2469.0,552.0,18902.0,129.8,0.0
2022-01,6366.0,2473.0,2562.0,456.0,17747.0,130.4,0.0
2022-02,6511.0,2550.0,2393.0,435.0,17497.0,130.8,0.0
2022-03,7704.0,2908.0,2472.0,543.0,19516.0,131.2,0.0
2022-04,7199.0,2797.0,2157.0,553.0,18455.0,131.6,0.0
2022-05,7287.0,3017.0,2159.0,596.0,18370.0,132.0,0.0
2022-06,7674.0,2968.0,2225.0,588.0,18525.0,132.4,4.0
2022-07,6633.0,2808.0,2404.0,579.0,17749.0,132.8,-8.0
2022-08,6343.0,3006.0,2388.0,596.0,17442.0,133.2,-8.0
2022-09,6253.0,2827.0,2441.0,592.0,16872.0,133.6,4.0
2022-10,6986.0,2996.0,2394.0,616.0,18579.0,134.0,0.0
2022-11,7763.0,2861.0,2461.0,618.0,19101.0,134.4,0.0
2022-12,7787.0,2984.0,2570.0,659.0,19539.0,134.8,0.0
2023-01,7178.0,2827.0,2507.0,668.0,18511.0,135.4,0.0
2023-02,7003.0,2776.0,2391.0,626.0,18659.0,135.8,0.0
2023-03,7794.0,3108.0,2406.0,688.0,21220.0,136.2,0.0
2023-04,7818.0,2877.0,2154.0,656.0,18708.0,136.6,0.0
2023-05,8217.0,3350.0,2347.0,671.0,20688.0,137.0,0.0
2023-06,7906.0,3152.0,2233.0,642.0,19483.0,137.4,4.0
2023-07,6885.0,2984.0,2390.0,663.0,18291.0,137.8,-8.0
2023-08,6670.0,3093.0,2460.0,677.0,18845.0,138.2,-8.0
2023-09,6493.0,3058.0,2551.0,657.0,18213.0,138.6,4.0
2023-10,7634.0,3140.0,2496.0,692.0,19465.0,139.0,0.0
2023-11,7525.0,3129.0,2487.0,690.0,18684.0,139.4,0.0
2023-12,7603.0,2990.0,2628.0,720.0,20253.0,139.8,0.0
2024-01,7424.0,3100.0,2698.0,717.0,19864.0,140.4,0.0
2024-02,7443.0,3023.0,2608.0,705.0,20192.0,140.8,0.0
2024-03,8007.0,3324.0,2612.0,758.0,21573.0,141.2,0.0
2024-04,7925.0,3285.0,2373.0,742.0,20163.0,141.6,0.0
2024-05,8412.0,3463.0,2410.0,744.0,21080.0,142.0,0.0
2024-06,7982.0,3296.0,2320.0,707.0,19937.0,142.4,4.0
2024-07,7193.0,3297.0,2649.0,727.0,20241.0,142.8,-8.0
2024-08,6501.0,3360.0,2664.0,732.0,18261.0,143.2,-8.0
2024-09,6369.0,3149.0,2610.0,726.0,17410.0,143.6,4.0
2024-10,7645.0,3412.0,2721.0,757.0,20254.0,144.0,0.0
2024-11,8166.0,3428.0,2665.0,748.0,20656.0,144.4,0.0
2024-12,8054.0,3320.0,2772.0,782.0,20655.0,144.8,0.0
2025-01,7738.0,3308.0,2835.0,784.0,20538.0,145.4,0.0
2025-02,7346.0,3174.0,2583.0,735.0,19321.0,145.8,0.0
2025-03,8075.0,3512.0,2729.0,801.0,20704.0,146.2,0.0
2025-04,8261.0,3449.0,2545.0,772.0,20227.0,146.6,0.0
2025-05,8592.0,3782.0,2682.0,776.0,21306.0,147.0,0.0
2025-06,8105.0,3522.0,2554.0,730.0,20042.0,147.4,4.0
2025-07,7356.0,3493.0,2810.0,710.0,19354.0,147.8,-8.0
2025-08,6577.0,3544.0,2833.0,710.0,19143.0,148.2,-8.0
2025-09,6786.0,3399.0,2794.0,720.0,18632.0,148.6,4.0
2025-10,7620.0,3665.0,2871.0,773.0,19952.0,149.0,0.0
2025-11,8557.0,3517.0,2843.0,788.0,20782.0,149.4,0.0
2025-12,8470.0,3555.0,3067.0,784.0,21594.0,149.8,0.0
2026-01,7993.0,3511.0,3012.0,827.0,20605.0,150.4,0.0
2026-02,7665.0,3369.0,2801.0,764.0,19371.0,150.8,0.0
2026-03,8726.0,3780.0,2358.0,807.0,20604.0,151.2,0.0
2026-04,8330.0,3684.0,2192.0,771.0,18920.0,151.6,0.0
2026-05,8725.0,3910.0,2114.0,783.0,19578.0,152.0,0.0
2026-06,8603.0,3784.0,2173.0,730.0,19189.0,152.4,4.0
2026-07,8093.0,3815.0,2346.0,705.0,19867.0,152.8,-8.0
2026-08,7023.0,3836.0,2347.0,726.0,18606.0,153.2,-8.0
